Attack_Class,Feature,BENIGN_Mean,Attack_Mean,BENIGN_Std,Attack_Std,BENIGN_Median,Attack_Median,Separation_Score
Bot,Active Min,57638.60048049174,64.44458518049399,587927.191216363,1810.193215937139,0.0,0.0,0.1384895398485759
Bot,Idle Std,316226.62820471916,30.11401846738442,3295719.088505222,934.6320433920945,0.0,0.0,0.13568188572732048
Bot,FIN Flag Count,0.008250394794282148,0.0,0.09045623568657044,0.0,0.0,0.0,0.12898856695115002
Bot,Fwd Packet Length Std,89.34285216237127,150.34429365569983,340.40804128252773,629.2654757435911,0.0,0.0,0.12058203460319601
Bot,Flow IAT Min,159500.0255773958,139.30905636478784,2790113.0669256533,1939.5982838333396,4.0,40.0,0.08077451585351711
Bot,Flow Bytes/s,1888509.2703030084,369325.0126850339,30418373.490289614,970147.0587412543,4168.294907,8022.260553,0.07059414666932537
Bot,ECE Flag Count,0.00036447056548604377,0.0,0.019087638412920955,0.0,0.0,0.0,0.02700382339845872
Bot,RST Flag Count,0.0003632986344073105,0.0,0.019056937353961526,0.0,0.0,0.0,0.026960358132448764
Bot,Flow Packets/s,59714.65169937331,56174.892824958995,232869.3491739566,160126.06382594258,82.27067051,113.9322917,0.017713359623726246
Bot,Total Fwd Packets,12.734473231629249,3.261557948068398,958.3413995020247,4.4780110960197375,2.0,3.0,0.01397892131937479
Bot,Total Backward Packets,14.727057251763023,3.448385053831539,1275.2699966901762,8.533188149134045,2.0,3.0,0.012507229186531065
Bot,Subflow Bwd Packets,14.727057251763023,3.448385053831539,1275.2699966901762,8.533188149134045,2.0,3.0,0.012507229186531065
Bot,act_data_pkt_fwd,7.655699540310034,2.1013299556681444,814.2800717345028,4.512185108477288,1.0,0.0,0.009646489546830542
Bot,min_seg_size_forward,-4152.44539006261,20.633312222925902,1332479.6407398658,2.188616675265683,20.0,20.0,0.004429054161261071
Bot,Bwd Header Length,-3837.9745755412123,74.73084230525649,1870313.6381627107,172.52679777150584,40.0,60.0,0.0029585417819990322
Bot,Fwd Header Length,-38292.224089043324,73.4059531348955,26641474.514478248,92.90915327897899,64.0,92.0,0.0020365687456533692
Bot,Fwd Header Length.1,-38292.224089043324,73.4059531348955,26641474.514478248,92.90915327897899,64.0,92.0,0.0020365687456533692
